"act","section_number","section_title","text","keywords","document_types_applicable","document_types_applicable__-"
"","","","","admission","order",""
"","","","","application","petition",""
"","","","","application_form","",""
"","","","","corporate insolvency resolution process","",""
"","","","","expeditious disposal of applications","",""
"","","","","insolvency","",""
"","","","","order","",""
"","","","","petition","",""
"","","","","rejection","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","184","Punishment for false information, etc., by creditor in insolvency resolution process","","CIRP","criminal_complaint",""
"","","","","corporate insolvency resolution process","court_order",""
"","","","","creditor","legal_notice",""
"","","","","false information","regulatory_filing",""
"","","","","insolvency","",""
"","","","","insolvency resolution process","",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for false information, etc., by creditor in insolvency resolution process","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","185","Punishment for contravention of provisions","","CIRP","criminal_complaint",""
"","","","","contravention","court_order",""
"","","","","corporate insolvency resolution process","legal_notice",""
"","","","","insolvency","regulatory_filing",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for contravention of provisions","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","186","Punishment for false information, concealment, etc., by bankrupt","","CIRP","criminal_complaint",""
"","","","","bankrupt","court_order",""
"","","","","bankruptcy","legal_notice",""
"","","","","concealment","regulatory_filing",""
"","","","","corporate insolvency resolution process","",""
"","","","","false information","",""
"","","","","insolvency","",""
"","","","","offence","",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for false information, concealment, etc., by bankrupt","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","187","Punishment for certain actions","","CIRP","criminal_complaint",""
"","","","","corporate insolvency resolution process","court_order",""
"","","","","insolvency","legal_notice",""
"","","","","offence","regulatory_filing",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment for certain actions","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","188","Establishment and incorporation of Board","","Board","board_meeting_minutes",""
"","","","","CIRP","notification",""
"","","","","constitution","regulatory_filing",""
"","","","","corporate insolvency resolution process","",""
"","","","","establishment and incorporation of board","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","resolution plan","",""
"","","","","regulatory authority","",""
"The Insolvency And Bankruptcy Code, 2016","189","Constitution of Board","","Board","board_meeting_minutes",""
"","","","","CIRP","notification",""
"","","","","constitution","regulatory_filing",""
"","","","","constitution of board","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","190","Removal of member from office","","Board","board_meeting_minutes",""
"","","","","CIRP","notification",""
"","","","","corporate insolvency resolution process","regulatory_filing",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","removal of member from office","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","191","Powers of Chairperson","","Board","board_meeting_minutes",""
"","","","","CIRP","notification",""
"","","","","chairperson","regulatory_filing",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","powers","",""
"","","","","powers of chairperson","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","192","Meetings of Board","","Board","board_meeting_minutes",""
"","","","","CIRP","regulatory_filing",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","meetings","",""
"","","","","meetings of board","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","193","Member not to participate in meetings in certain cases","","Board","board_meeting_minutes",""
"","","","","CIRP","regulatory_filing",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","member not to participate in meetings in certain cases","",""
"","","","","meetings","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","194","Vacancies, etc., not to invalidate proceedings of Board, Officers and employees of Board","","Board","board_meeting_minutes",""
"","","","","CIRP","regulatory_filing",""
"","","","","corporate insolvency resolution process","",""
"","","","","employees","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","officers","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"","","","","vacancies","",""
"","","","","vacancies, etc., not to invalidate proceedings of board, officers and employees of board","",""
"The Insolvency And Bankruptcy Code, 2016","195","Power to designate financial sector regulator","","CIRP","regulatory_filing",""
"","","","","corporate insolvency resolution process","regulatory_notification",""
"","","","","designate financial sector regulator","",""
"","","","","financial service providers","",""
"","","","","insolvency","",""
"","","","","power to designate financial sector regulator","",""
"","","","","regulator","",""
"","","","","regulatory authority","",""
"","","","","regulatory_notification","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","196","Powers and functions of Board","","Board","board_meeting_minutes",""
"","","","","CIRP","notification",""
"","","","","corporate insolvency resolution process","regulatory_filing",""
"","","","","functions","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","powers","",""
"","","","","powers and functions of board","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","197","Constitution of advisory committee, executive committee or other committee","","Board","board_meeting_minutes",""
"","","","","CIRP","regulatory_filing",""
"","","","","advisory committee","",""
"","","","","constitution","",""
"","","","","constitution of advisory committee, executive committee or other committee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","executive committee","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","198","Condonation of delay","","CIRP","",""
"","","","","condonation of delay","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","199","No person to function as insolvency professional agency without valid certificate of registration","","CIRP","registration_certificate",""
"","","","","certificate of registration","regulatory_filing",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","insolvency professional agency","",""
"","","","","no person to function as insolvency professional agency without valid certificate of registration","",""
"","","","","registration","",""
"","","","","registration_certificate","",""
"","","","","regulatory_filing","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","200","Principles governing registration of insolvency professional agency","","CIRP","registration_certificate",""
"","","","","corporate insolvency resolution process","regulatory_filing",""
"","","","","insolvency","",""
"","","","","insolvency professional agency","",""
"","","","","principles governing registration of insolvency professional agency","",""
"","","","","registration","",""
"","","","","registration_certificate","",""
"","","","","regulatory_filing","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","201","Registration of insolvency professional agency","","CIRP","registration_certificate",""
"","","","","corporate insolvency resolution process","regulatory_filing",""
"","","","","insolvency","",""
"","","","","insolvency professional agency","",""
"","","","","registration","",""
"","","","","registration of insolvency professional agency","",""
"","","","","registration_certificate","",""
"","","","","regulatory_filing","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","202","Appeal to National Company Law Appellate Tribunal","","CIRP","","appeal"
"","","","","appeal","",""
"","","","","appeal to national company law appellate tribunal","",""
"","","","","appellate tribunal","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","National Company Law Appellate Tribunal","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","203","Governing Board of insolvency professional agency","","Board","","regulatory_filing"
"","","","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","governing board of insolvency professional agency","",""
"","","","","insolvency","",""
"","","","","insolvency professional agency","",""
"","","","","regulatory_filing","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","204","Functions of insolvency professional agencies","","CIRP","","regulatory_filing"
"","","","","corporate insolvency resolution process","",""
"","","","","functions","",""
"","","","","functions of insolvency professional agencies","",""
"","","","","insolvency","",""
"","","","","insolvency professional agency","",""
"","","","","regulatory_filing","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","205","Insolvency professional agencies to make bye-laws","","CIRP","company_policy",""
"","","","","bye-laws","regulatory_filing",""
"","","","","company_policy","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","insolvency professional agency","",""
"","","","","insolvency professional agencies to make bye-laws","",""
"","","","","regulatory_filing","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","206","Enrolled and registered persons to act as insolvency professionals","","CIRP","appointment_letter",""
"","","","","corporate insolvency resolution process","report",""
"","","","","enrolled and registered persons to act as insolvency professionals","",""
"","","","","insolvency","",""
"","","","","insolvency professional","",""
"","","","","registration","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","207","Registration of insolvency professionals","","CIRP","appointment_letter",""
"","","","","corporate insolvency resolution process","report",""
"","","","","insolvency","",""
"","","","","insolvency professional","",""
"","","","","registration","",""
"","","","","registration of insolvency professionals","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","208","Functions and obligations of insolvency professionals","","CIRP","appointment_letter",""
"","","","","corporate insolvency resolution process","report",""
"","","","","duties","",""
"","","","","functions","",""
"","","","","functions and obligations of insolvency professionals","",""
"","","","","insolvency","",""
"","","","","insolvency professional","",""
"","","","","obligations","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","209","No person to function as information utility without certificate of registration","","CIRP","registration_certificate",""
"","","","","certificate of registration","regulatory_filing",""
"","","","","corporate insolvency resolution process","",""
"","","","","information utility","",""
"","","","","insolvency","",""
"","","","","no person to function as information utility without certificate of registration","",""
"","","","","registration","",""
"","","","","registration_certificate","",""
"","","","","regulatory_filing","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","210","Registration of information utility","","CIRP","registration_certificate",""
"","","","","corporate insolvency resolution process","regulatory_filing",""
"","","","","information utility","",""
"","","","","insolvency","",""
"","","","","registration","",""
"","","","","registration of information utility","",""
"","","","","registration_certificate","",""
"","","","","regulatory_filing","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","211","Appeal to National Company Law Appellate Tribunal","","CIRP","","appeal"
"","","","","appeal","",""
"","","","","appeal to national company law appellate tribunal","",""
"","","","","appellate tribunal","",""
"","","","","corporate insolvency resolution process","",""
"","","","","information utility","",""
"","","","","insolvency","",""
"","","","","National Company Law Appellate Tribunal","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","212","Governing Board of information utility","","Board","","regulatory_filing"
"","","","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","governing board of information utility","",""
"","","","","information utility","",""
"","","","","insolvency","",""
"","","","","regulatory_filing","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","213","Core services, etc., of information utilities","","CIRP","","regulatory_filing"
"","","","","core services, etc., of information utilities","",""
"","","","","corporate insolvency resolution process","",""
"","","","","information utility","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","214","Obligations of information utility","","CIRP","","regulatory_filing"
"","","","","corporate insolvency resolution process","",""
"","","","","information utility","",""
"","","","","insolvency","",""
"","","","","obligations","",""
"","","","","obligations of information utility","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","215","Procedure for submission, etc., of financial information","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","financial information","",""
"","","","","insolvency","",""
"","","","","procedure for submission, etc., of financial information","",""
"","","","","resolution plan","",""
"","","","","submission","",""
"The Insolvency And Bankruptcy Code, 2016","216","Rights and obligations of persons submitting financial information","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","financial information","",""
"","","","","insolvency","",""
"","","","","obligations","",""
"","","","","resolution plan","",""
"","","","","rights","",""
"","","","","rights and obligations of persons submitting financial information","",""
"The Insolvency And Bankruptcy Code, 2016","217","Complaints against insolvency professional agency or its member or information utility","","CIRP","",""
"","","","","complaints","",""
"","","","","complaints against insolvency professional agency or its member or information utility","",""
"","","","","corporate insolvency resolution process","",""
"","","","","information utility","",""
"","","","","insolvency","",""
"","","","","insolvency professional agency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","218","Investigation of insolvency professional agency or its member or information utility","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","information utility","",""
"","","","","insolvency","",""
"","","","","insolvency professional agency","",""
"","","","","investigation","",""
"","","","","investigation of insolvency professional agency or its member or information utility","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","219","Show cause notice to insolvency professional agency or its member or information utility","","CIRP","","legal_notice"
"","","","","corporate insolvency resolution process","",""
"","","","","information utility","",""
"","","","","insolvency","",""
"","","","","insolvency professional agency","",""
"","","","","legal_notice","",""
"","","","","notice","",""
"","","","","resolution plan","",""
"","","","","show cause notice","",""
"","","","","show cause notice to insolvency professional agency or its member or information utility","",""
"The Insolvency And Bankruptcy Code, 2016","220","Appointment of disciplinary committee","","CIRP","","appointment_letter"
"","","","","appointment","",""
"","","","","appointment of disciplinary committee","",""
"","","","","corporate insolvency resolution process","",""
"","","","","disciplinary committee","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","221","Grants by Central Government","","CIRP","audit_report",""
"","","","","Central Government","financial_statement",""
"","","","","corporate insolvency resolution process","",""
"","","","","finance","",""
"","","","","fund","",""
"","","","","grants","",""
"","","","","grants by central government","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","222","Board’s Fund","","Board","audit_report",""
"","","","","Board’s Fund","financial_statement",""
"","","","","CIRP","regulatory_filing",""
"","","","","corporate insolvency resolution process","",""
"","","","","finance","",""
"","","","","fund","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","223","Accounts and audit","","accounts","audit_report",""
"","","","","accounts and audit","financial_statement",""
"","","","","audit","",""
"","","","","audit_report","",""
"","","","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","finance","",""
"","","","","financial_statement","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","224","Insolvency and Bankruptcy Fund","","CIRP","audit_report",""
"","","","","corporate insolvency resolution process","financial_statement",""
"","","","","finance","",""
"","","","","fund","",""
"","","","","insolvency","",""
"","","","","insolvency and bankruptcy fund","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","225","Power of Central Government to issue directions","","CIRP","","notification"
"","","","","Central Government","",""
"","","","","corporate insolvency resolution process","",""
"","","","","directions","",""
"","","","","insolvency","",""
"","","","","notification","",""
"","","","","power of central government to issue directions","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","226","Power of Central Government to supersede Board","","Board","notification",""
"","","","","CIRP","regulatory_filing",""
"","","","","Central Government","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","power of central government to supersede board","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"","","","","supersede","",""
"The Insolvency And Bankruptcy Code, 2016","227","Power of Central Government to notify financial service providers, etc.","","CIRP","notification",""
"","","","","Central Government","regulatory_notification",""
"","","","","corporate insolvency resolution process","",""
"","","","","financial service providers","",""
"","","","","insolvency","",""
"","","","","notification","",""
"","","","","power of central government to notify financial service providers, etc.","",""
"","","","","regulator","",""
"","","","","regulatory_notification","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","228","Budget","","CIRP","","financial_statement"
"","","","","budget","",""
"","","","","corporate insolvency resolution process","",""
"","","","","finance","",""
"","","","","financial_statement","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","229","Annual report","","CIRP","","report"
"","","","","annual report","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","report","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","230","Delegation","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","delegation","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","231","Bar of jurisdiction","","CIRP","","court_order"
"","","","","bar of jurisdiction","",""
"","","","","corporate insolvency resolution process","",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","jurisdiction","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","232","Members, officers and employees of Board to the public servants","","Board","","regulatory_filing"
"","","","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","employees","",""
"","","","","insolvency","",""
"","","","","Insolvency and Bankruptcy Board of India","",""
"","","","","members, officers and employees of board to the public servants","",""
"","","","","officers","",""
"","","","","public servants","",""
"","","","","regulatory authority","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","233","Protection of action taken in good faith","","CIRP","",""
"","","","","action in good faith","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","protection","",""
"","","","","protection of action taken in good faith","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","234","Agreements with foreign countries","","CIRP","",""
"","","","","agreements with foreign countries","",""
"","","","","corporate insolvency resolution process","",""
"","","","","foreign countries","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","235","Letter of request to a country outside India in certain cases","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","country outside india","",""
"","","","","insolvency","",""
"","","","","letter of request","",""
"","","","","letter of request to a country outside india in certain cases","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","235A","Punishment where no specific penalty or punishment is provided","","CIRP","criminal_complaint",""
"","","","","corporate insolvency resolution process","court_order",""
"","","","","insolvency","legal_notice",""
"","","","","offence","regulatory_filing",""
"","","","","penalty","",""
"","","","","punishment","",""
"","","","","punishment where no specific penalty or punishment is provided","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","236","Trial of offences by Special Court","","CIRP","court_order",""
"","","","","corporate insolvency resolution process","criminal_complaint",""
"","","","","court_order","",""
"","","","","insolvency","",""
"","","","","offence","",""
"","","","","resolution plan","",""
"","","","","special court","",""
"","","","","trial","",""
"","","","","trial of offences by special court","",""
"The Insolvency And Bankruptcy Code, 2016","237","Appeal and revision","","CIRP","","appeal"
"","","","","appeal","",""
"","","","","appeal and revision","",""
"","","","","appellate tribunal","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","revision","",""
"The Insolvency And Bankruptcy Code, 2016","238","Provisions of this Code to override other laws","","CIRP","","act"
"","","","","act","",""
"","","","","code","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","override other laws","",""
"","","","","provisions of this code to override other laws","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","238A","Limitation","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","limitation","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","239","Power to make rules","","CIRP","","act"
"","","","","act","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","power to make rules","",""
"","","","","regulations","",""
"","","","","resolution plan","",""
"","","","","rules","",""
"The Insolvency And Bankruptcy Code, 2016","240","Power to make regulations","","CIRP","","act"
"","","","","act","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","power to make regulations","",""
"","","","","regulations","",""
"","","","","resolution plan","",""
"","","","","rules","",""
"The Insolvency And Bankruptcy Code, 2016","240A","Application of this Code to micro, small and medium enterprises","","CIRP","application_form",""
"","","","","MSME","regulatory_notification",""
"","","","","application","",""
"","","","","application of this code to micro, small and medium enterprises","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","medium enterprise","",""
"","","","","micro enterprise","",""
"","","","","regulatory_notification","",""
"","","","","resolution plan","",""
"","","","","small enterprise","",""
"The Insolvency And Bankruptcy Code, 2016","241","Rules and regulations to be laid before Parliament","","CIRP","","act"
"","","","","act","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","parliament","",""
"","","","","regulations","",""
"","","","","resolution plan","",""
"","","","","rules","",""
"","","","","rules and regulations to be laid before parliament","",""
"The Insolvency And Bankruptcy Code, 2016","242","Power to remove difficulties","","CIRP","",""
"","","","","corporate insolvency resolution process","",""
"","","","","difficulties","",""
"","","","","insolvency","",""
"","","","","power to remove difficulties","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","243","Repeal of certain enactments and savings","","CIRP","","act"
"","","","","act","",""
"","","","","corporate insolvency resolution process","",""
"","","","","enactments","",""
"","","","","insolvency","",""
"","","","","repeal","",""
"","","","","repeal of certain enactments and savings","",""
"","","","","resolution plan","",""
"","","","","savings","",""
"The Insolvency And Bankruptcy Code, 2016","244","Transitional provisions","","CIRP","","act"
"","","","","act","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"","","","","transitional provisions","",""
"The Insolvency And Bankruptcy Code, 2016","245","Amendments of Act 9 of 1932","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 9 of 1932","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","246","Amendments of Act 1 of 1944","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 1 of 1944","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","247","Amendments of Act 43 of 1961","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 43 of 1961","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","248","Amendments of Act 52 of 1962","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 52 of 1962","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","249","Amendments of Act 51 of 1993","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 51 of 1993","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","250","Amendments of Act 32 of 1994","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 32 of 1994","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","251","Amendments of Act 54 of 2002","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 54 of 2002","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","252","Amendments of Act 1 of 2004","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 1 of 2004","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","253","Amendments of Act 51 of 2007","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 51 of 2007","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","254","Amendments of Act 6 of 2009","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 6 of 2009","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","255","Amendments of Act 18 of 2013","","CIRP","","act"
"","","","","act","",""
"","","","","amendments","",""
"","","","","amendments of act 18 of 2013","",""
"","","","","corporate insolvency resolution process","",""
"","","","","insolvency","",""
"","","","","resolution plan","",""
"The Insolvency And Bankruptcy Code, 2016","2","Application","The provis ions of this Code shall apply to — 
(a) any company incorporated under the Companies Act, 2013 (18 of 2013) or under any previous 
company law; 
(b) any other company governed by any special Act for the time being in force, except in so far as 
the said provis ions are inconsistent with the provisions of such special Act; 
(c) any Limited Liability Partnership incorporated under the Limited Liability Partnership                  
Act, 2008  (6 of 2009) ;  
(d) such other body incorporated under any law for the time be ing in force, as the Central 
Government may, by notification, specify in this behalf; 1*** 
2[(e) personal guarantors to corporate debtors;  
(f) partnership firms and proprietorship firms; and  
(g) individuals, other than persons referred to in clause ( e),]","application","company_policy",""
"","","","","scope","partnership_agreement",""
"","","","","company","LLP_agreement",""
"","","","","LLP","guarantee_agreement",""
"","","","","limited liability partnership","loan_agreement",""
"","","","","corporate debtors","corporate_resolution",""
"","","","","personal guarantors","",""
"","","","","partnership firms","",""
"","","","","proprietorship firms","",""
"","","","","individuals","",""
